,0
958,-918.0315358086752
959,-342.6991455442747
960,-340.6216892313227
961,-941.2946510296221
962,-126.33365863799386
963,-81.43116031251348
964,-920.7940394990808
965,-312.448891052083
966,-116.60940728863022
967,-136.97173464678988
968,-951.6085729806131
969,-107.81127214603828
970,-92.0333516295619
971,-852.1310292280626
972,-893.7044365955641
973,-327.3840989772346
974,-278.4088045427809
975,-970.3838847133848
976,-92.82758292726409
977,-341.4028660067671
978,-323.4369631071552
979,-301.8770836561007
980,-206.5568127111584
981,-294.8312503891943
982,-128.8745582510864
983,-843.8380602914574
984,-903.606489782485
985,-843.4344437440404
986,-199.2510709398906
987,-142.52901141919725
988,-136.14750018524788
989,-161.1670463047537
990,-125.87360302295816
991,-113.46627353606495
992,-142.9826668320181
993,-153.135862558628
994,-134.25927084548644
995,-122.40948611136763
996,-111.23385139944995
997,-334.17073417883637
998,-283.18520217568175
999,-272.96330760218046
1000,-345.7274420754064
